municipio;homens;mulheres;branca;preta;amarela;parda;indigena;ignorado;urbana;rural;comorbidades
Cachoeirinha;57173;61105;102004;6876;241;8948;209;;118278;;13657
Cacique Doble;2417;2451;3429;152;18;339;929;1;1628;3240;485
Caibaté;2532;2422;3883;16;17;1037;1;;2745;2209;468
Caiçara;2585;2486;4154;113;13;791;;;1594;3477;452
Camaquã;30900;31864;54827;4443;152;3217;125;;49356;13408;6808
Camargo;1291;1301;2301;33;16;242;;;1095;1497;273
Cambará do Sul;3350;3192;5274;345;46;877;;;3041;3501;638
Campestre da Serra;1674;1573;2710;54;10;470;3;;1231;2016;341
Campina das Missões;3056;3061;5767;89;16;245;;;2188;3929;513
Campinas do Sul;2650;2856;4693;91;26;694;2;;4217;1289;518
Campo Bom;29471;30603;53705;1387;112;4817;53;;57338;2736;7170
Campo Novo;2685;2774;4593;240;27;592;7;;4109;1350;431
Campos Borges;1754;1740;3031;69;26;366;2;;2006;1488;314
Candelária;14752;15419;25799;1246;65;3060;1;;15715;14456;3131
Cândido Godói;3318;3217;6381;15;2;137;;;1846;4689;598
Candiota;4481;4290;6662;675;29;1392;13;;2598;6173;983
Canela;19120;20109;32129;1503;356;5194;47;;35831;3398;4687
Canguçu;26856;26403;48260;2836;235;1895;33;;19694;33565;5564
Canoas;155936;167891;276306;19575;700;26809;437;;323827;;35245
Canudos do Vale;959;848;1739;19;;47;2;;411;1396;173
Capão Bonito do Sul;943;811;1590;30;1;131;2;;499;1255;164
Capão da Canoa;20616;21424;36571;2196;121;3094;58;;41787;253;5437
Capão do Cipó;1628;1476;2422;120;11;549;2;;519;2585;388
Capão do Leão;11962;12336;20131;2033;112;1960;62;;22382;1916;2487
Capivari do Sul;1935;1955;3032;403;5;427;23;;3230;660;482
Capela de Santana;5848;5764;9964;315;57;1263;13;;6915;4697;1220
Capitão;1353;1283;2473;39;10;114;;;1147;1489;261
Carazinho;28280;31037;51330;1845;137;5894;111;;58253;1064;6227
Caraá;3798;3514;7012;70;;163;67;;1058;6254;792
Carlos Barbosa;12662;12530;23763;276;57;1088;5;3;19992;5200;3232
Carlos Gomes;834;773;1572;16;;16;3;;378;1229;141
Casca;4243;4408;7988;124;16;517;6;;5090;3561;907
